id,target,standard_error,total_words,total_sentences,total_syllables,ave_syllables,ave_sentence_length,num_verb_noun,num_adj_noun,per_diff_words,flesch_score,dale_score,sumner_level,coleman_index,readability_index,gunning_fog_score,awl_index,new_target
85aa80a4c,-0.315372342,0.48080497,169,15,240,1.4201183431952662,11.266666666666667,6,9,7.100591715976331,75.25732149901383,5.316510098619329,5.135185128205128,5.135185128205128,4.074516765285992,7.3469033530572,0,-0.35132111493427187
b69ac6792,-0.580117966,0.476676226,166,11,229,1.379518072289157,15.090909090909092,6,7,7.228915662650603,74.81049835706463,5.526454874041621,5.24797995618839,5.24797995618839,5.863406352683462,8.927929901423878,0,-0.48169175571359046
f9bf357fe,-0.861808583,0.480936493,163,7,249,1.5276073619631902,23.285714285714285,2,10,14.11042944785276,53.96441717791413,7.019508238387379,6.559342068361087,6.559342068361087,11.36451358457493,14.95845749342682,0,-1.3215216499123028
0a43a07f1,-0.95232462,0.498115881,172,7,239,1.3895348837209305,24.571428571428573,1,9,8.720930232558139,64.34034883720932,6.232277740863787,6.0311408637873765,6.0311408637873765,10.982749169435216,13.316943521594688,0,-1.1167131706370834
f7eff7419,-0.371640688,0.463710362,163,11,223,1.3680981595092023,14.818181818181818,8,10,6.748466257668712,76.05344116006694,5.437064640267708,5.174801171221416,5.174801171221416,6.495041829336309,8.626659230340213,0,-0.27672663252080465
d96e6dbcd,-1.238432225,0.465899778,192,8,256,1.3333333333333333,24.0,0,11,6.25,69.67500000000004,5.813775,5.730966666666667,5.730966666666667,10.489375000000004,12.1,0,-1.1241772656570808
a0d4cd896,-1.400318025,0.494799321,189,7,283,1.4973544973544974,27.0,0,12,11.11111111111111,52.75380952380954,6.730144444444444,6.710662962962964,6.710662962962964,13.875555555555556,15.244444444444447,0,-1.508691659817074
0963b8cf9,-0.495298635,0.471694283,199,15,283,1.4221105527638191,13.266666666666667,7,9,11.55778894472362,73.05878056951425,6.119501541038526,5.299849681742042,5.299849681742042,5.51077051926298,9.929782244556115,0,-0.8876138846320569
af79954c5,-0.188185864,0.481518476,172,6,223,1.2965116279069768,28.666666666666668,5,7,3.488372093023256,68.05344961240311,1.9726806201550389,5.92649457364341,5.92649457364341,12.373158914728684,12.86201550387597,0,-0.43999899050746016
057f69731,-1.126247781,0.47702836,181,6,250,1.3812154696132597,30.166666666666668,0,4,7.734806629834254,59.36500460405158,6.354092633517495,6.428597053406998,6.428597053406998,13.742394106813997,15.16058931860037,0,-1.3026629715603506
5e7c0b55b,-1.009999064,0.496148262,177,8,249,1.4067796610169492,22.125,4,9,6.214689265536723,65.36456567796611,5.715199435028248,5.91927245762712,5.91927245762712,9.723177966101694,11.33587570621469,0,-0.812579589515364
e4f3550b2,-1.483887001,0.476218591,171,6,263,1.5380116959064327,28.5,1,10,12.280701754385966,47.7917105263158,6.989222807017544,7.012353216374269,7.012353216374269,14.800000000000004,16.312280701754386,0,-1.407665381640717
fc36fd8ff,-1.314628766,0.449363562,175,4,239,1.3657142857142857,43.75,2,9,8.0,46.88932142857145,7.0697,7.414850000000001,7.414850000000001,20.307742857142856,20.700000000000003,0,-1.5084660246782762
aa6f9e224,-0.479830828,0.495426627,172,8,218,1.2674418604651163,21.5,6,3,4.069767441860465,77.78691860465119,1.7090162790697674,5.236660465116279,5.236660465116279,8.789825581395348,10.227906976744189,0,-0.21749314297023137
4d5b83eba,0.404633391,0.482963505,164,11,213,1.298780487804878,14.909090909090908,3,6,2.4390243902439024,81.82544345898006,1.124612860310421,4.866478492239468,4.866478492239468,4.433752771618625,6.939246119733925,0,-0.07774931608645286
