id,target,standard_error,total_words,total_sentences,total_syllables,ave_syllables,ave_sentence_length,num_verb_noun,num_adj_noun,per_diff_words,flesch_score,dale_score,sumner_level,coleman_index,readability_index,gunning_fog_score,awl_index
c12129c31,-0.340259125,0.464009046,179,11,247,1.3798882681564246,16.272727272727273,1,9,8.938547486033519,73.5796343321483,5.855023920771965,5.341609801929913,8.233296089385473,7.41457592686643,10.084509903504319,0
85aa80a4c,-0.315372342,0.48080497,169,15,240,1.4201183431952662,11.266666666666667,6,9,7.100591715976331,75.25732149901383,5.316510098619329,5.135185128205128,6.380118343195267,4.074516765285992,7.3469033530572,0
b69ac6792,-0.580117966,0.476676226,166,11,229,1.3795180722891567,15.090909090909092,6,7,7.228915662650603,74.81049835706463,5.526454874041621,5.24797995618839,6.892048192771085,5.863406352683462,8.927929901423878,0
dd1000b26,-1.05401339,0.450007142,164,5,219,1.3353658536585367,32.8,4,10,3.658536585365854,60.571048780487814,2.204562926829268,6.424854634146341,8.86121951219512,15.44701219512195,14.58341463414634,0
37c1b32fb,0.247197446,0.510844957,147,5,176,1.1972789115646258,29.4,0,10,3.401360544217687,75.70420408163268,1.9953148299319727,5.5320390476190475,4.993197278911566,10.732244897959184,13.120544217687076,0
f9bf357fe,-0.861808583,0.480936493,163,7,249,1.5276073619631902,23.285714285714285,2,10,14.110429447852761,53.96441717791413,7.019508238387379,6.559342068361087,9.334723926380363,11.36451358457493,14.958457493426819,0
eaf8e7355,-1.759061403,0.476507368,173,8,257,1.4855491329479769,21.625,4,11,9.826589595375722,59.20816835260118,6.260718497109826,6.238773554913296,11.007630057803468,11.952384393063582,12.58063583815029,0
0a43a07f1,-0.95232462,0.498115881,172,7,239,1.3895348837209303,24.571428571428573,1,9,8.720930232558139,64.34034883720932,6.232277740863787,6.0311408637873765,8.122093023255811,10.982749169435216,13.316943521594688,0
f7eff7419,-0.371640688,0.463710362,163,11,223,1.3680981595092025,14.818181818181818,8,10,6.748466257668712,76.05344116006694,5.437064640267708,5.174801171221416,7.814723926380367,6.495041829336309,8.626659230340213,0
d96e6dbcd,-1.238432225,0.465899778,192,8,256,1.3333333333333333,24.0,0,11,6.25,69.67500000000004,5.813775,5.730966666666667,7.834166666666665,10.489375000000003,12.100000000000001,0
c57b50918,-3.081337118,0.553259513,186,5,301,1.618279569892473,37.2,1,11,18.27956989247312,32.1705483870968,8.367964086021505,8.054432043010753,11.919139784946232,20.01096774193548,22.19182795698925,0
8d8a2667f,-2.145248365,0.518351049,159,9,241,1.5157232704402517,17.666666666666668,4,10,15.09433962264151,60.67314465408805,6.896162893081761,6.068107547169811,7.9675471698113185,7.783710691823899,13.104402515723272,0
a0d4cd896,-1.400318025,0.494799321,189,7,283,1.4973544973544974,27.0,0,12,11.11111111111111,52.75380952380954,6.730144444444444,6.710662962962964,10.325925925925926,13.875555555555557,15.244444444444447,0
0963b8cf9,-0.495298635,0.471694283,199,15,283,1.4221105527638191,13.266666666666667,7,9,11.557788944723619,73.05878056951425,6.119501541038526,5.299849681742042,7.3208040201005,5.51077051926298,9.929782244556115,0
587502a70,0.245805709,0.491792885,181,12,250,1.3812154696132597,15.083333333333334,3,9,4.419889502762431,74.67458793738491,1.4460338858195212,5.255113720073664,6.829613259668509,5.810395948434625,7.801289134438306,0
af79954c5,-0.188185864,0.481518476,172,6,223,1.2965116279069768,28.666666666666668,5,7,3.488372093023256,68.05344961240311,1.9726806201550389,5.92649457364341,7.4737209302325525,12.373158914728684,12.86201550387597,0
7656dea91,-1.28603909,0.470564481,179,12,234,1.3072625698324023,14.916666666666666,5,9,5.58659217877095,81.10016992551213,5.258489571694599,4.905661359404098,6.326927374301672,5.341964618249534,8.201303538175045,0
60ecc9777,-0.617733261,0.496645177,177,2,226,1.2768361581920904,88.5,2,6,3.9548022598870056,8.987161016949187,5.014063276836158,10.49200451977401,7.883841807909604,42.05915254237288,36.9819209039548,0
057f69731,-1.126247781,0.47702836,181,6,250,1.3812154696132597,30.166666666666668,0,4,7.734806629834254,59.36500460405158,6.354092633517495,6.428597053406998,8.298121546961323,13.742394106813997,15.16058931860037,0
5e7c0b55b,-1.009999064,0.496148262,177,8,249,1.4067796610169492,22.125,4,9,6.214689265536723,65.36456567796611,5.715199435028248,5.91927245762712,7.943502824858754,9.723177966101694,11.33587570621469,0
a9ebe5d33,0.281178362,0.510595335,155,6,198,1.2774193548387096,25.833333333333332,3,5,3.225806451612903,72.54448924731184,1.7906881720430108,5.619191397849461,6.19483870967742,10.022795698924732,11.623655913978496,0
47e98a5c8,0.278203141,0.4840451,182,3,247,1.3571428571428572,60.666666666666664,1,6,3.2967032967032965,30.444047619047637,3.529616117216117,8.691966666666666,8.136703296703296,28.467948717948723,25.585347985347987,0
7285ba024,-1.566220068,0.485318409,197,8,257,1.3045685279187818,24.625,2,13,4.568527918781726,71.47412753807109,1.9427705583756345,5.648711802030457,6.9955329949238525,10.10503807106599,11.677411167512691,0
66f0a9ff1,-2.386484836,0.526078693,162,6,254,1.5679012345679013,27.0,2,7,12.962962962962964,46.78555555555556,7.022551851851851,7.031650617283951,11.26962962962963,14.63148148148148,15.985185185185186,0
e4f3550b2,-1.483887001,0.476218591,171,6,263,1.5380116959064327,28.5,1,10,12.280701754385966,47.791710526315796,6.989222807017544,7.012353216374269,10.60140350877193,14.800000000000004,16.312280701754386,0
e6181a3fb,0.633138503,0.51578045,157,7,224,1.4267515923566878,22.428571428571427,4,6,8.280254777070065,63.366815286624245,6.056409372156506,6.033762602365787,8.57248407643312,10.364285714285714,12.283530482256598,0
08104f366,-1.394485086,0.474054569,141,6,221,1.5673758865248226,23.5,5,6,10.638297872340425,50.38250000000002,6.481887234042553,6.756960283687944,10.672340425531914,12.53382978723404,13.65531914893617,0
2df8a90eb,-0.146083426,0.503310325,173,6,236,1.3641618497109826,28.833333333333332,3,10,7.514450867052023,62.16107418111757,6.253165125240848,6.2472697495183045,7.713063583815028,12.643429672447013,14.539113680154143,0
fc36fd8ff,-1.314628766,0.449363562,175,4,239,1.3657142857142857,43.75,2,9,8.0,46.88932142857145,7.0697,7.414850000000001,8.320228571428572,20.307742857142856,20.700000000000003,0
060e33d14,-1.413743883,0.492639527,169,11,247,1.4615384615384615,15.363636363636363,5,3,10.650887573964496,67.59475524475526,6.080311511565357,5.64239090909091,8.159289940828401,6.9869661108122685,10.405809575040344,0
